Rank,Title,Year,Rating,Genre,Runtime,URL,Director
109,M,1931,8.3,"Psychological Thriller, Serial Killer, Suspense Mystery",1 hour 39 minutes,https://www.imdb.com/title/tt0022100/?ref_=chttp_i_109,Fritz Lang
110,Full Metal Jacket,1987,8.2,"Dark Comedy, Period Drama, Drama",1 hour 56 minutes,https://www.imdb.com/title/tt0093058/?ref_=chttp_i_110,Stanley Kubrick
111,Vertigo,1958,8.2,"Psychological Thriller, Tragedy, Mystery",2 hours 8 minutes,https://www.imdb.com/title/tt0052357/?ref_=chttp_i_111,Alfred Hitchcock
112,Amélie,2001,8.3,"Feel-Good Romance, Quirky Comedy, Romantic Comedy",2 hours 2 minutes,https://www.imdb.com/title/tt0211915/?ref_=chttp_i_112,Jean-Pierre Jeunet
113,A Separation,2011,8.3,"Legal Drama, Psychological Drama, Drama",2 hours 3 minutes,https://www.imdb.com/title/tt1832382/?ref_=chttp_i_113,Asghar Farhadi
114,To Kill a Mockingbird,1962,8.3,"Legal Drama, Period Drama, Crime",2 hours 9 minutes,https://www.imdb.com/title/tt0056592/?ref_=chttp_i_114,Robert Mulligan
115,A Clockwork Orange,1971,8.2,"Dark Comedy, Dystopian Sci-Fi, Crime",2 hours 16 minutes,https://www.imdb.com/title/tt0066921/?ref_=chttp_i_115,Stanley Kubrick
116,Like Stars on Earth,2007,8.3,"Coming-of-Age, Drama, Family",2 hours 42 minutes,https://www.imdb.com/title/tt0986264/?ref_=chttp_i_116,Aamir Khan
117,Die Hard,1988,8.2,"Disaster, One-Person Army Action, Action",2 hours 12 minutes,https://www.imdb.com/title/tt0095016/?ref_=chttp_i_117,John McTiernan
118,The Sting,1973,8.3,"Caper, Comedy, Crime",2 hours 9 minutes,https://www.imdb.com/title/tt0070735/?ref_=chttp_i_118,George Roy Hill
119,Indiana Jones and the Last Crusade,1989,8.2,"Adventure Epic, Desert Adventure, Globetrotting Adventure",2 hours 7 minutes,https://www.imdb.com/title/tt0097576/?ref_=chttp_i_119,Steven Spielberg
120,Oppenheimer,2023,8.3,"Docudrama, Epic, Historical Epic",3 hours,https://www.imdb.com/title/tt15398776/?ref_=chttp_i_120,Christopher Nolan
121,Metropolis,1927,8.3,"Dystopian Sci-Fi, Epic, Sci-Fi Epic",2 hours 33 minutes,https://www.imdb.com/title/tt0017136/?ref_=chttp_i_121,Fritz Lang
122,Snatch,2000,8.2,"Caper, Dark Comedy, Gangster",1 hour 42 minutes,https://www.imdb.com/title/tt0208092/?ref_=chttp_i_122,Guy Ritchie
123,1917,2019,8.2,"Epic, Period Drama, War Epic",1 hour 59 minutes,https://www.imdb.com/title/tt8579674/?ref_=chttp_i_123,Sam Mendes
124,L.A Confidential,1997,8.2,"Conspiracy Thriller, Cop Drama, Hard-boiled Detective",2 hours 18 minutes,https://www.imdb.com/title/tt0119488/?ref_=chttp_i_124,Curtis Hanson
125,Bicycle Thieves,1948,8.2,"Tragedy, Drama",1 hour 29 minutes,https://www.imdb.com/title/tt0040522/?ref_=chttp_i_125,Vittorio De Sica
126,Downfall,2004,8.2,"Docudrama, Political Drama, Tragedy",2 hours 36 minutes,https://www.imdb.com/title/tt0363163/?ref_=chttp_i_126,Oliver Hirschbiegel
127,Dangal,2016,8.3,"Coming-of-Age, Martial Arts, Action",2 hours 41 minutes,https://www.imdb.com/title/tt5074352/?ref_=chttp_i_127,Nitesh Tiwari
128,The Wolf of Wall Street,2013,8.2,"Dark Comedy, Docudrama, Epic",3 hours,https://www.imdb.com/title/tt0993846/?ref_=chttp_i_128,Martin Scorsese
129,Hamilton,2020,8.3,"Epic, Historical Epic, Biography",2 hours 40 minutes,https://www.imdb.com/title/tt8503618/?ref_=chttp_i_129,Martin Scorsese
130,Taxi Driver,1976,8.2,"Psychological Drama, Crime, Drama",1 hour 54 minutes,https://www.imdb.com/title/tt0075314/?ref_=chttp_i_130,Thomas Kail
131,Green Book,2018,8.2,"Docudrama, Period Drama, Road Trip",2 hours 10 minutes,https://www.imdb.com/title/tt6966692/?ref_=chttp_i_131,Peter Farrelly
132,Batman Begins,2005,8.2,"Action Epic, Epic, Superhero",2 hours 20 minutes,https://www.imdb.com/title/tt0372784/?ref_=chttp_i_132,Christopher Nolan
133,For a Few Dollars More,1965,8.2,"One-Person Army Action, Spaghetti Western, Drama",2 hours 12 minutes,https://www.imdb.com/title/tt0059578/?ref_=chttp_i_133,Sergio Leone
134,The Truman Show,1998,8.2,"Dark Comedy, High-Concept Comedy, Psychological Drama",1 hour 43 minutes,https://www.imdb.com/title/tt0120382/?ref_=chttp_i_134,Stanley Kramer
135,Judgment at Nuremberg,1961,8.3,"Legal Drama, Drama, War",2 hours 59 minutes,https://www.imdb.com/title/tt0055031/?ref_=chttp_i_135,Peter Weir
136,Some Like It Hot,1959,8.2,"Buddy Comedy, Farce, Romantic Comedy",2 hours 1 minute,https://www.imdb.com/title/tt0053291/?ref_=chttp_i_136,Billy Wilder
137,Shutter Island,2010,8.2,"Psychological Thriller, Suspense Mystery, Drama",2 hours 18 minutes,https://www.imdb.com/title/tt1130884/?ref_=chttp_i_137,Martin Scorsese
138,The Kid,1921,8.2,"Buddy Comedy, Slapstick, Comedy",1 hour 8 minutes,https://www.imdb.com/title/tt0012349/?ref_=chttp_i_138,Charles Chaplin
139,The Father,2020,8.2,"Psychological Drama, Drama, Mystery",1 hour 37 minutes,https://www.imdb.com/title/tt10272386/?ref_=chttp_i_139,Florian Zeller
140,All About Eve,1950,8.2,"Showbiz Drama, Drama",2 hours 18 minutes,https://www.imdb.com/title/tt0042192/?ref_=chttp_i_140,Joseph L. Mankiewicz
141,Jurassic Park,1993,8.2,"Dinosaur Adventure, Jungle Adventure, Action",2 hours 7 minutes,https://www.imdb.com/title/tt0107290/?ref_=chttp_i_141,Steven Spielberg
142,There Will Be Blood,2007,8.2,"Epic, Period Drama, Psychological Drama",2 hours 38 minutes,https://www.imdb.com/title/tt0469494/?ref_=chttp_i_142,Paul Thomas Anderson
143,Casino,1995,8.2,"Docudrama, Epic, Gangster",2 hours 58 minutes,https://www.imdb.com/title/tt0112641/?ref_=chttp_i_143,Martin Scorsese
144,The Sixth Sense,1999,8.2,"Psychological Drama, Psychological Thriller, Suspense Mystery",1 hour 47 minutes,https://www.imdb.com/title/tt0167404/?ref_=chttp_i_144,M. Night Shyamalan
145,Ran,1985,8.2,"Epic, Samurai, Tragedy",2 hours 40 minutes,https://www.imdb.com/title/tt0089881/?ref_=chttp_i_145,Akira Kurosawa
146,Top Gun: Maverick,2022,8.2,"Action Epic, Epic, Action",2 hours 10 minutes,https://www.imdb.com/title/tt1745960/?ref_=chttp_i_146,Joseph Kosinski
147,No Country for Old Men,2007,8.2,"Contemporary Western, Psychological Thriller, Serial Killer",2 hours 2 minutes,https://www.imdb.com/title/tt0477348/?ref_=chttp_i_147,Ethan Coen
148,The Thing,1982,8.2,"Alien Invasion, Body Horror, Monster Horror",1 hour 49 minutes,https://www.imdb.com/title/tt0084787/?ref_=chttp_i_148,John Carpenter
149,Pan's Labyrinth,2006,8.2,"Coming-of-Age, Dark Fantasy, Fairy Tale",1 hour 58 minutes,https://www.imdb.com/title/tt0457430/?ref_=chttp_i_149,Guillermo del Toro
150,Unforgiven,1992,8.2,"Period Drama, Tragedy, Drama",2 hours 10 minutes,https://www.imdb.com/title/tt0105695/?ref_=chttp_i_150,Clint Eastwood
151,A Beautiful Mind,2001,8.2,"Docudrama, Period Drama, Psychological Drama",2 hours 15 minutes,https://www.imdb.com/title/tt0268978/?ref_=chttp_i_151,Ron Howard
152,Kill Bill: Vol 1,2003,8.2,"Kung Fu, Martial Arts, One-Person Army Action",1 hour 51 minutes,https://www.imdb.com/title/tt0266697/?ref_=chttp_i_152,Quentin Tarantino
153,The Treasure of the Sierra Madre,1948,8.2,"Tragedy, Adventure, Drama",2 hours 6 minutes,https://www.imdb.com/title/tt0040897/?ref_=chttp_i_153,John Huston
